titles,subtitles,links
REF LATEST,Premier League ref WON'T appeal sacking after video of snorting white powder,https://www.thesun.co.uk/sport/32470037/premier-league-ref-david-coote-wont-appeal-sacking/
RASH STARTS,Marcus Rashford is Mr January for Man Utd’s 2025 calendar despite exit rumours,https://www.thesun.co.uk/sport/32467876/marcus-rashford-mr-january-man-united-2025-calendar/
MOR OR LESS,Ruben Amorim has theory on who's behind bombshell Marcus Rashford interview,https://www.thesun.co.uk/sport/32467816/marcus-rashford-man-utd-transfer-exit-ruben-amorim-theory/
COBBLED TOGETHER,Prem legend returns to management after six years out at Northampton,https://www.thesun.co.uk/sport/32467331/kevin-nolan-northampton-town-premier-league-manager/
THAT WAS QUICK,Premier League cult hero Lee Cattermole ‘leaves coaching job’ after 9 days,https://www.thesun.co.uk/sport/32463350/lee-cattermole-bristol-rovers-sunderland-middlesbrough/
EUR KIDDING,England's elite would jump at escape to a Euro Super League as their rule ends,https://www.thesun.co.uk/sport/32469398/premier-league-man-united-city-super-league/
BUK STOPS HERE,Major Arsenal blow as Bukayo Saka sidelined with injury for 'many weeks',https://www.thesun.co.uk/sport/32462272/arsenal-blow-saka-injury-many-weeks-arteta-confirms/
DON'T RASH,Man Utd warned Rashford exit could come back to haunt them if he joins Prem foes,https://www.thesun.co.uk/sport/32458730/man-utd-transfer-news-marcus-rashford-lee-sharpe/
HAPPY HOLIDAYS,Every Premier League player suspended on Boxing Day,https://www.thesun.co.uk/sport/32465385/premier-league-suspensions-boxing-day-new-years-eve/
DANE DEAL,Zidane will only return to management for 2 teams in huge blow to Man Utd,https://www.thesun.co.uk/sport/32464907/man-utd-zinedine-zidane-real-madrid-france/
RED (AND YELLOW) DEVIL,Former Man Utd star goes incognito but is instantly spotted by fans,https://www.thesun.co.uk/sport/32464435/man-utd-raphael-varane-incognito-spotted-fans/
OWEN GOAL,Owen names 'sad thing about Man Utd these days' and slams 'stupid' new signing,https://www.thesun.co.uk/sport/32469706/man-utd-noussar-mazraoui-michael-owen-criticism/
MOUR TO COME,Mourinho confirms he has undergone surgery but won't miss Fenerbahce training,https://www.thesun.co.uk/sport/32453727/jose-mourinho-health-update-confirms-surgery-fenerbahce/
TIME FLIES,Incredible photo shows Fulham star as Tom Cairney's mascot just six years ago,https://www.thesun.co.uk/sport/32455312/josh-king-mascot-photo-tom-cairney-fulham-debut/
CAR BLIMEY,Major broadcasting change as Carabao Cup semi-finals to be on free-to-air TV,https://www.thesun.co.uk/sport/32461855/carabao-cup-semi-final-itv-broadcast-free/
WELCOME BONUS,Get £30 in free bets plus extra £10 casino bonus with talkSPORT BET,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
GAG OF THE DAY,BBC pundit's genius Alexis Mac Allister gag leaves fans in stitches,https://www.thesun.co.uk/sport/32453852/shay-given-motd-alexis-mac-allister-joke/
MAN ALIVE,Prem's biggest underperformers revealed with Man City still not the worst,https://www.thesun.co.uk/sport/32460342/premier-league-biggest-underperformers-man-city-man-utd/
